0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
68,10,67,56,0,12,78,14,64,55,76,26,49,64,49,58,12,35,56,7,99,90,57,45,52,77,10,92,41,34,78,60,12,60,17,86,10,52,62,62,8,43,78,68,89,15,75,64,61,50,10,55,61,71,72,73,61,73,59,11,40,26,89,9,58,85,45,94,18,48,41,53,57,83,29,39,45,25,36,80,26,14,43,29,23,66,67,92,16,83,39,68,76,12,83,30,76,96,8,34
36,93,12,25,79,90,5,69,84,54,62,20,79,26,84,35,19,18,70,14,80,95,92,55,81,20,52,65,96,60,55,14,75,29,17,61,22,92,84,55,79,90,17,50,52,28,19,23,92,92,15,39,4,69,41,31,50,63,27,38,98,6,72,31,51,8,74,67,64,28,92,32,37,73,88,31,42,88,69,86,34,5,50,94,65,29,30,35,23,28,69,26,40,3,35,73,40,36,4,21
58,90,53,54,90,45,74,34,10,76,37,13,69,52,47,21,58,7,90,29,35,28,61,22,31,50,3,90,2,46,27,8,29,4,33,25,40,5,57,21,11,19,90,90,75,89,9,57,49,17,1,1,29,30,76,35,21,1,51,22,46,55,70,36,81,79,92,89,82,32,34,60,98,34,95,82,33,52,20,92,82,69,57,87,16,34,30,59,8,53,95,94,79,78,10,5,97,18,15,48
51,8,6,80,59,29,40,59,61,83,13,14,78,92,7,63,88,10,38,51,86,65,70,46,4,11,42,43,95,56,44,72,68,3,63,61,75,99,77,62,64,20,28,32,97,17,26,32,48,62,44,21,64,9,97,51,75,13,83,61,46,17,5,98,3,15,42,21,47,69,47,88,13,9,5,95,95,73,77,36,77,86,33,67,61,6,19,48,73,65,87,71,63,54,52,36,6,57,53,8
41,39,9,3,46,34,19,15,75,13,52,53,26,11,71,8,56,48,35,54,6,26,88,27,52,50,79,81,47,22,77,66,15,64,48,6,32,60,16,69,22,69,54,38,11,82,44,85,56,43,68,24,90,87,6,5,82,57,61,85,98,47,89,55,8,45,95,56,68,18,19,13,29,13,66,5,33,5,19,19,80,32,78,98,65,1,3,83,95,91,61,3,75,38,98,66,84,64,6,69
24,76,20,13,7,74,6,68,94,85,63,57,8,51,50,15,68,45,72,63,67,59,83,64,13,79,68,66,17,62,95,44,51,78,88,54,41,83,12,54,3,31,37,43,98,74,22,95,48,70,46,8,48,20,14,1,41,49,50,34,22,78,36,46,65,10,31,47,55,52,86,79,85,43,95,62,82,56,33,23,36,47,30,77,76,95,33,51,63,26,91,91,63,83,76,98,56,0,85,0
21,41,87,20,40,80,64,48,37,86,80,1,2,21,34,73,9,10,75,79,24,69,72,59,77,20,59,60,25,37,18,92,12,78,67,35,70,21,38,99,39,68,15,87,63,72,26,78,89,78,87,87,34,27,61,61,14,95,21,29,97,97,34,53,97,54,53,73,13,61,88,42,49,57,90,29,65,5,66,91,77,92,71,65,41,30,26,78,16,72,14,31,45,67,64,0,61,35,76,50
79,36,35,13,31,68,90,30,66,99,3,79,74,14,22,68,61,65,28,40,31,94,40,4,0,81,64,84,86,87,75,4,56,87,31,42,9,71,56,12,71,80,68,0,21,34,95,82,71,99,90,21,93,43,62,86,93,47,18,37,41,89,76,66,74,97,2,7,54,73,20,90,24,64,19,64,60,90,97,98,77,85,97,51,94,62,47,81,39,67,21,56,2,92,69,23,82,60,61,61
45,31,36,57,29,14,95,35,70,17,13,9,36,80,95,47,13,41,50,22,35,46,9,8,75,6,29,32,73,54,49,3,36,60,40,73,69,6,96,14,51,0,74,94,84,50,46,46,19,38,46,11,99,95,39,99,37,79,76,14,59,1,98,21,45,99,42,48,94,11,37,36,23,49,94,4,15,18,69,80,55,3,19,94,27,70,40,61,66,38,26,31,52,7,5,8,55,98,99,15
91,96,62,58,15,37,61,41,92,53,64,93,70,94,86,31,7,55,94,35,59,87,34,56,75,28,73,20,58,15,36,41,33,92,91,32,73,92,56,67,99,12,36,21,90,15,3,74,76,36,91,6,14,58,29,49,36,37,16,33,18,77,23,12,48,83,32,21,51,57,89,38,20,6,24,62,1,21,55,15,71,23,26,84,64,95,28,97,70,40,82,77,4,96,79,85,75,3,63,87
4,74,41,15,78,9,3,6,90,0,14,3,42,67,37,34,38,28,60,53,52,43,99,74,91,83,11,37,25,51,92,37,92,26,82,5,22,99,4,23,84,59,69,37,75,52,66,49,18,56,4,93,54,48,51,92,62,85,36,54,44,86,22,40,60,81,71,71,46,69,31,84,95,1,56,38,42,39,49,40,18,26,29,35,94,16,48,27,59,33,13,30,40,40,9,12,11,22,31,50
64,85,46,72,96,59,56,66,87,34,72,20,96,48,91,73,2,9,75,7,36,61,37,57,91,17,88,65,47,48,66,46,17,67,64,20,91,36,4,43,12,53,63,61,84,32,10,5,20,23,54,49,14,34,95,33,7,91,32,80,27,37,8,41,54,23,25,34,9,45,84,10,35,33,91,9,50,85,64,7,87,27,39,19,49,52,56,42,17,95,52,32,24,29,89,22,78,96,98,80
38,62,98,91,61,34,26,88,9,75,73,81,73,1,50,95,16,21,25,61,29,75,77,37,13,46,74,92,53,20,18,41,3,88,25,99,45,59,2,37,12,11,75,37,1,85,74,77,7,93,25,92,95,40,58,30,36,50,95,71,52,34,66,90,14,28,25,63,87,62,51,53,31,3,65,94,9,56,34,30,6,22,46,54,87,5,51,80,97,6,19,75,45,37,43,75,69,52,34,28
3,67,85,1,41,77,33,30,8,68,36,30,9,26,56,45,2,63,27,4,80,13,46,44,95,53,49,33,35,76,58,81,27,16,32,65,80,18,54,19,57,30,59,50,4,56,72,72,98,26,47,47,98,61,9,33,82,48,74,74,24,52,90,90,44,76,96,78,27,63,30,72,76,24,26,21,32,36,48,78,50,12,60,28,57,85,76,12,73,36,78,13,59,15,37,67,18,31,24,4
98,86,62,98,38,5,72,58,61,71,6,68,19,39,31,80,0,38,97,67,50,6,38,27,89,26,97,13,2,91,57,78,17,77,97,20,62,46,43,23,42,55,93,33,9,4,24,51,19,56,41,98,91,38,26,60,39,61,33,21,14,54,61,1,32,7,42,62,98,45,19,81,89,17,97,67,49,81,64,46,8,41,18,18,69,35,75,72,92,31,10,21,78,40,70,93,59,11,27,75
48,97,41,91,96,86,99,2,0,29,61,31,83,58,64,33,10,42,88,52,95,16,29,93,70,39,77,2,11,61,41,83,59,96,57,13,44,27,72,3,52,8,22,1,92,79,40,55,2,63,1,49,27,85,27,54,20,52,99,38,42,59,49,61,60,22,93,34,94,0,26,94,98,14,76,60,5,65,60,88,29,95,25,4,56,80,29,63,19,19,91,82,7,89,35,19,42,33,33,47
7,44,54,28,42,92,62,9,21,1,1,16,21,98,67,35,59,14,7,88,9,37,22,62,42,9,0,63,28,54,89,21,59,70,72,45,78,1,13,11,82,48,48,48,96,96,74,54,71,3,35,5,4,7,72,82,6,47,10,58,78,16,74,39,99,95,32,87,32,88,76,97,41,16,79,52,43,69,96,39,22,31,40,93,81,23,51,14,97,48,11,70,31,75,26,0,78,55,72,99
53,66,48,3,7,89,2,83,20,23,46,40,42,79,92,72,15,97,74,87,90,94,49,73,5,60,74,76,45,64,50,22,16,38,21,34,39,70,56,46,70,41,55,93,14,24,87,83,90,48,48,34,50,99,90,23,61,48,62,0,88,60,47,31,26,21,10,60,38,94,9,19,13,61,18,40,88,99,91,22,51,7,14,84,77,53,96,17,16,36,44,46,20,94,57,35,7,42,17,54
6,37,98,74,10,27,17,47,39,32,53,96,36,31,87,56,51,50,12,71,90,81,24,52,50,30,58,71,31,71,57,99,52,40,55,32,84,3,38,95,63,68,17,51,78,3,94,37,17,28,29,32,52,91,43,54,14,49,68,47,65,81,9,92,89,1,37,22,86,37,97,33,95,0,2,97,96,74,7,26,91,60,93,60,52,73,23,90,3,94,6,32,18,58,68,86,16,66,22,91
41,77,85,9,29,16,41,74,44,4,62,30,33,91,99,4,44,0,4,88,55,2,88,89,24,62,94,93,49,91,83,86,27,43,42,93,94,59,89,93,88,77,48,6,5,9,15,67,40,7,97,11,6,80,48,36,9,45,72,73,91,51,54,90,8,25,8,51,7,10,23,4,60,63,88,34,7,23,18,30,13,48,80,5,13,83,60,69,34,52,45,16,72,70,21,40,74,23,74,79
97,38,62,10,1,74,87,88,1,75,59,90,85,31,59,23,16,47,27,62,81,57,38,14,27,59,76,55,11,27,42,29,16,33,21,16,1,72,47,3,19,3,55,65,39,1,41,40,56,25,93,39,2,88,11,10,82,89,76,58,85,77,96,85,67,45,49,48,50,25,45,78,90,55,96,88,66,57,58,17,67,55,83,91,96,33,69,80,11,51,51,2,26,61,55,64,39,32,33,54
90,36,48,4,57,74,29,13,96,16,57,98,90,19,24,74,89,18,1,26,42,3,74,97,61,98,10,80,67,28,35,40,15,58,35,76,14,20,99,84,32,97,17,17,96,85,98,46,34,58,39,96,36,64,56,47,53,89,18,8,22,6,1,86,49,26,65,1,92,24,30,81,28,89,90,96,64,43,33,71,25,61,21,76,54,70,6,83,76,82,25,52,57,64,59,69,39,64,68,85
2,73,12,38,72,23,15,41,80,25,42,30,14,32,66,66,90,75,79,31,79,92,30,16,18,17,50,19,81,59,14,23,53,25,23,16,77,67,10,16,44,17,36,72,7,85,13,58,27,47,25,28,62,31,70,49,22,4,75,95,22,50,64,76,70,26,93,94,29,11,18,66,0,80,86,43,75,92,57,57,35,80,19,30,37,55,12,26,63,78,63,67,19,82,46,41,75,31,58,43
80,30,90,71,39,48,77,75,28,25,86,8,37,96,7,28,55,79,27,14,76,88,66,80,56,69,33,6,21,78,1,78,73,35,34,16,14,72,37,0,74,63,57,77,98,8,33,85,98,94,12,69,65,10,49,18,23,39,95,96,58,57,71,31,15,97,21,79,74,44,59,54,12,56,4,85,39,73,39,43,51,10,78,24,1,69,94,48,36,21,14,76,38,85,91,78,32,57,62,27
61,28,27,74,19,94,97,75,28,71,44,43,23,21,17,71,87,31,2,48,29,69,86,90,48,21,92,57,42,81,50,37,9,78,83,48,83,86,12,33,40,98,71,97,64,60,57,9,10,3,60,3,11,66,15,99,14,36,46,10,63,49,93,57,68,63,49,72,72,79,41,30,83,88,10,93,51,10,78,8,8,36,22,97,96,78,0,88,64,61,66,31,71,72,2,79,0,83,3,79
74,81,91,5,20,89,27,83,50,31,8,94,66,45,1,5,46,89,95,19,84,40,61,81,82,79,21,71,70,38,70,55,51,20,28,5,97,51,92,98,11,80,32,79,30,32,91,23,6,10,17,17,53,51,60,99,72,53,32,49,2,99,50,28,22,14,30,31,59,14,69,52,2,34,27,42,33,43,61,22,30,97,55,61,71,24,17,70,69,32,60,22,72,30,52,15,36,11,71,71
33,51,61,30,13,62,59,49,52,89,36,90,51,73,66,2,3,67,84,31,60,92,1,48,84,7,64,0,54,37,89,81,40,17,82,66,53,21,22,8,97,39,17,8,40,69,49,98,22,8,26,45,83,28,97,82,51,73,81,96,44,79,17,52,28,13,19,44,36,69,39,47,26,85,12,0,20,8,76,89,34,41,47,39,53,50,40,2,79,72,77,45,40,80,86,48,39,53,89,29
65,62,90,11,35,58,19,6,92,75,86,95,6,37,30,43,23,36,26,80,43,24,13,50,1,7,42,97,49,79,72,24,89,36,10,58,69,16,32,94,38,35,27,0,24,17,42,74,59,7,45,80,4,84,55,72,36,70,75,87,33,13,68,23,42,14,94,35,51,84,16,92,94,63,80,41,94,10,95,81,61,53,19,29,45,51,28,9,74,66,60,72,17,55,18,68,4,81,98,50
